barcode,sample,well_position,control,group,strain_name,strain,treatment,bioreplicate,cdna_concentration
barcode49,CA09_Leptolyngbya,E1,,,CA09 _P6_London,CA09,Leptolyngbya,1,60
barcode50,CA09_Tolypothrix,E2,,,CA09 _P6_London,CA09,Tolypothrix,1,60
barcode51,CA09_Uridine,E3,,,CA09 _P6_London,CA09,Uridine,1,60
barcode52,mock-ifxd_veh_DMSO,E4,negative,,CA09 _P6_London,mock-ifxd,veh_DMSO,1,48.53
barcode53,CA09_Leptolyngbya,E5,,,CA09 _P6_London,CA09,Leptolyngbya,2,60
barcode54,CA09_Tolypothrix,E6,,,CA09 _P6_London,CA09,Tolypothrix,2,60
barcode55,CA09_Uridine,E7,,,CA09 _P6_London,CA09,Uridine,2,60
barcode56,mock-ifxd_veh_DMSO,E8,negative,,CA09 _P6_London,mock-ifxd,veh_DMSO,2,30.59
barcode57,CA09_Leptolyngbya,E9,,,CA09 _P6_London,CA09,Leptolyngbya,3,34.96
barcode58,CA09_Tolypothrix,E10,,,CA09 _P6_London,CA09,Tolypothrix,3,60
barcode59,CA09_Uridine,E11,,,CA09 _P6_London,CA09,Uridine,3,60
barcode60,mock-ifxd_veh_DMSO,E12,negative,,CA09 _P6_London,mock-ifxd,veh_DMSO,3,4.03
barcode61,CA09_Alpelisib,F1,,,CA09 _P6_London,CA09,Alpelisib,1,60
barcode62,CA09_Synecho,F2,,,CA09 _P6_London,CA09,Synecho,1,60
barcode63,CA09_Adenosine,F3,,,CA09 _P6_London,CA09,Adenosine,1,60
barcode64,CA09_Favipiravir,F4,,,CA09 _P6_London,CA09,Favipiravir,1,60
barcode65,CA09_Alpelisib,F5,,,CA09 _P6_London,CA09,Alpelisib,2,60
barcode66,CA09_Synecho,F6,,,CA09 _P6_London,CA09,Synecho,2,60
barcode67,CA09_Adenosine,F7,,,CA09 _P6_London,CA09,Adenosine,2,60
barcode68,CA09_Favipiravir,F8,,,CA09 _P6_London,CA09,Favipiravir,2,60
barcode69,CA09_Alpelisib,F9,,,CA09 _P6_London,CA09,Alpelisib,3,14.72
barcode70,CA09_Synecho,F10,,,CA09 _P6_London,CA09,Synecho,3,33.58
barcode71,CA09_Adenosine,F11,,,CA09 _P6_London,CA09,Adenosine,3,60
barcode72,CA09_Favipiravir,F12,,,CA09 _P6_London,CA09,Favipiravir,3,23.92
barcode73,CA09_veh_water,G1,no_treatment,,CA09 _P6_London,CA09,veh_water,1,60
barcode74,CA09_Oscillatoria,G2,,,CA09 _P6_London,CA09,Oscillatoria,1,60
barcode75,CA09_Insulin,G3,,,CA09 _P6_London,CA09,Insulin,1,60
barcode76,CA09_UK5099,G4,,,CA09 _P6_London,CA09,UK5099,1,60
barcode77,CA09_veh_water,G5,no_treatment,,CA09 _P6_London,CA09,veh_water,2,60
barcode78,CA09_Oscillatoria,G6,,,CA09 _P6_London,CA09,Oscillatoria,2,60
barcode79,CA09_Insulin,G7,,,CA09 _P6_London,CA09,Insulin,2,60
barcode80,CA09_UK5099,G8,,,CA09 _P6_London,CA09,UK5099,2,60
barcode81,CA09_veh_water,G9,no_treatment,,CA09 _P6_London,CA09,veh_water,3,36.11
barcode82,CA09_Oscillatoria,G10,,,CA09 _P6_London,CA09,Oscillatoria,3,60
barcode83,CA09_Insulin,G11,,,CA09 _P6_London,CA09,Insulin,3,60
barcode84,CA09_UK5099,G12,,,CA09 _P6_London,CA09,UK5099,3,31.74
barcode85,CA09_veh_DMSO,H1,no_treatment,,CA09 _P6_London,CA09,veh_DMSO,1,60
barcode86,CA09_Nostoc,H2,,,CA09 _P6_London,CA09,Nostoc,1,60
barcode87,CA09_MK2206,H3,,,CA09 _P6_London,CA09,MK2206,1,60
